year,avg_mean_temp,avg_min_temp,avg_max_temp,relative_humidity,precipitation_max,annual_rainfall,agri_land_area,cropland_pct,fertilizer_kg_per_ha,population_density
2009,13.23,7.7,18.58,69.99,94.43,44.141584054834055,41400.0,1.02546215556331,18.2027272727273,189.557272410185
2010,13.36,8.03,18.6,71.21,110.1,41.166248124098125,41260.0,1.06034182071852,25.0866972477064,190.73562608999
2011,12.51,7.43,17.53,73.36,81.52,45.316506096681096,41266.0,1.17614230903383,35.8098672955102,191.59047087548
2012,12.31,6.81,17.59,70.34,91.69,41.49649588744589,41210.0,1.13409557028253,26.5436949640263,192.081723055459
2013,12.71,7.5,17.66,72.32,83.18,47.031410064935066,41210.0,1.14228601325427,54.8748465693149,192.465964422742
2014,12.51,7.3,17.82,71.9,95.98,44.68232041847042,41210.0,1.23961283571678,68.9652483690816,193.040599930241
2015,12.67,7.73,17.77,73.26,71.47,40.14437038239538,41210.0,1.2637314265783,77.0867835300316,194.095772584583
2016,13.56,8.49,18.91,72.97,92.04,44.97106471861472,41210.0,1.25850366236484,78.9440155842005,195.015430763865
2017,13.24,8.23,18.62,73.82,105.43,39.27223174603174,41210.0,1.29496965469131,70.4015645854131,195.404659923265
2018,12.9,7.94,18.18,72.67,88.42,43.13658185425685,41210.0,0.955821416114405,94.9419097495845,195.882029996512
2019,12.62,7.64,17.86,73.44,103.5,40.68064152236652,41210.0,0.984987792117196,97.0055873700847,198.214607603767
2020,12.47,7.76,17.43,75.18,115.06,46.40892424242424,41210.0,0.938809208231601,115.325540266482,202.068880362749
2021,13.09,8.26,18.18,74.83,90.77,48.831357070707064,41210.0,0.985218695500523,112.610654393996,205.61569584932
2022,13.25,8.48,18.33,75.12,81.49,41.900269877344876,41210.0,1.01151028950122,67.8431755183502,207.292891524241
2023,13.17,8.1,18.43,73.24,71.51,36.619854329004326,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
2024,12.321081081081081,7.124324324324325,17.366486486486487,71.59405405405404,93.88297297297298,37.76868596681097,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
2025,12.321081081081081,7.124324324324325,17.366486486486487,71.59405405405404,93.88297297297298,5.913985064935065,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
